key,year,first_author,scope,databases,n_records,period,clusters_or_themes,method_summary,distinctness_from_present_work
Tripney2013TVETLMIC,2013,Tripney,TVET young people LMIC outcomes,"Multiple",37,1990-2010,Effects of TVET interventions on employment / earnings,"Systematic review + meta-analysis (effect sizes); narrative synthesis","Earlier scope (LMIC focus, intervention efficacy); does not map keyword network or compare clustering tools"
Calero2020Transversal,2020,Calero Lopez,Transversal competences in VET,"WoS",~250,1990-2018,Soft-skill competences across professions,"VOSViewer keyword co-occurrence + descriptive bibliometrics","Same instrument (VOSViewer) but narrow theme (transversal competences); no cluster naming experiment"
Christidis2019NursingVET,2019,Christidis,Nursing-related VET integrated teaching,"ERIC, Scopus",~120,2000-2018,Integrated theory-practice teaching strategies,"PRISMA SLR + thematic analysis","Domain-specific (nursing); no bibliometric mapping"
Adjei2023GreenTVET,2023,Adjei,Green TVET approaches,"Scopus, WoS",~200,2010-2022,Sustainability in TVET pedagogy and policy,"PRISMA + VOSViewer co-occurrence + descriptive bibliometrics","Same instrument; theme-specific (green TVET); does not address national VET monitoring"
Husaeni2023VocSchoolVOS,2023,Al Husaeni,Vocational school keywords (general),"Scopus",~360,2017-2022,General vocational school research keywords,"VOSViewer co-occurrence map + cluster analysis","Generic VET literature scan; no methodology comparison; no policy/governance focus"
Omar2024TVETIndustry,2024,Omar,TVET-industry collaboration,"Scopus",~200,2000-2023,Industry-academia partnerships in TVET,"Bibliometric analysis (Biblioshiny + VOSViewer)","Theme-specific (industry collaboration); does not address QA / monitoring instruments"
TVETFunding2024,2024,Anonymous,TVET funding landscapes,"Scopus, WoS",~150,2010-2023,Funding mechanisms and sources for TVET,"Bibliometric analysis","Theme-specific (funding); not focused on monitoring or policy"
Karantali2025VETBiblio,2025,Karantali,General VET literature bibliometric,"Scopus",~600,1990-2023,General thematic structure of VET research,"Bibliometric analysis (Biblioshiny + VOSViewer)","Closest analogue: bibliometric of VET; broader scope, no monitoring focus, no LLM cluster validation"
Mende2025VETgovernance,2025,Mende,VET system governance SLR,"WoS, Scopus, ERIC",96,2000-2024,Governance configurations of VET systems,"PRISMA SLR + qualitative thematic synthesis","Conceptual SLR (no bibliometric mapping); strong governance focus complements present work"
Sholikhah2025VRVET,2025,Sholikhah,VR-based learning in VET,"Scopus",~150,2015-2024,Immersive learning environments in VET,"PRISMA SLR + bibliometric mapping","Technology-specific (VR); does not address regulatory/policy monitoring"
Ciantar2025VETPolicy,2025,Ciantar,VET policy transfer in EU SLR,"WoS, Scopus",~80,2000-2024,EU policy transfer mechanisms in VET,"PRISMA SLR + qualitative synthesis","Policy-transfer focus; complements monitoring focus of present work"
THIS_WORK_2026,2026,Pidhaiko,Monitoring of VET research bibliometric + system DSR,"WoS",1998,1997-2025,Four clusters: Systems/Policy / Outcomes / Pedagogy / Cognitive,"VOSViewer + Python (Louvain) reproducibility comparison + multi-LLM cluster naming (n=11) + DSR system implementation","Combines bibliometric reproducibility experiment, multi-LLM ensemble interpretation, and design-science-research artefact (system) — none of the prior reviews integrate these three lines"
