label,cluster_vos,cluster_python,occ_vos,occ_python,tls_vos,tls_python,avg_year_vos,avg_year_python,avg_cit_vos,avg_cit_python,avg_norm_cit_vos,avg_norm_cit_python
assessment,2,2,473,339,6216,2768,2016.4292,2016.9616519174042,13.7907,12.799410029498524,1.0468,1.0510965378054213
company,1,1,158,81,2334,762,2019.8544,2018.5555555555557,7.5759,8.444444444444445,1.0982,1.053097038943857
competence,3,0,371,224,6352,2173,2016.8922,2017.46875,17.0431,12.642857142857142,1.1508,1.0463638709083656
context,3,0,280,206,4437,1929,2019.0893,2018.7524271844661,8.8607,8.08252427184466,1.0124,0.9471589822280072
country,1,1,250,153,3049,1294,2016.364,2017.5816993464052,14.352,12.294117647058824,1.1417,1.0952259939117708
development,1,0,574,443,8461,3784,2018.1551,2017.4153498871333,12.2491,11.440180586907449,1.1394,1.0086984167007136
difference,2,2,208,324,2956,2764,2016.851,2017.5648148148148,15.7885,12.070987654320987,1.2124,1.102295820943257
effect,2,2,336,311,3881,2564,2017.6488,2017.4790996784566,15.878,11.739549839228296,1.372,1.087748823483275
field,1,1,151,119,2230,1075,2018.0927,2017.3865546218487,10.1854,11.319327731092438,0.9365,1.0244925446024817
germany,1,1,120,80,1769,669,2017.7083,2017.3,16.3083,16.3,1.2754,1.312491742323824
group,2,2,296,186,3696,1522,2016.6014,2016.8494623655913,10.6959,10.758064516129032,0.8897,0.929797370582522
higher education,1,0,112,85,1510,764,2018.7321,2018.2823529411764,13.3304,10.223529411764705,1.115,0.9313464677556966
knowledge,4,0,312,189,4652,1778,2018.0897,2017.8095238095239,11.1122,12.661375661375661,1.0328,1.0513082450434985
learning,3,0,342,352,5148,3224,2017.3538,2017.840909090909,13.0789,11.463068181818182,1.0378,1.0175849906618624
model,1,1,380,232,5371,2015,2017.9763,2018.3405172413793,14.3395,12.224137931034482,1.1386,1.0888898137385359
order,1,1,115,92,1791,850,2016.5217,2016.391304347826,9.9217,10.315217391304348,0.8449,0.8319138560118656
paper,1,1,296,242,4295,2080,2017.6115,2017.198347107438,9.5507,9.607438016528926,0.8177,0.8312217526567327
performance,2,2,353,285,4982,2280,2017.6742,2017.3157894736842,11.289,10.743859649122808,1.0412,1.0171186037945759
practice,3,0,423,308,6109,2753,2016.5154,2017.0227272727273,11.6076,11.10064935064935,0.9195,0.8975469922220171
problem,4,0,198,113,3324,1068,2016.4747,2016.2654867256638,11.8283,11.309734513274336,0.9831,0.8891857362230655
school,2,2,512,292,6761,2491,2017.6055,2018.0479452054794,10.8184,11.424657534246576,0.9978,1.0294726729835202
skill,4,0,375,229,5910,2121,2017.6293,2017.3930131004367,11.5787,11.921397379912664,1.1623,1.025561300129696
student,2,2,1161,485,14844,4246,2018.2653,2018.1319587628866,11.1886,10.696907216494845,1.0047,0.9787835555073824
study,2,2,1188,661,14924,5252,2018.1869,2017.7382753403933,12.0715,12.600605143721634,1.1185,1.0879477534348634
teacher,3,0,593,288,8600,2611,2018.2411,2017.7881944444443,10.9848,10.680555555555555,0.9595,0.9259144079537547
training,1,1,965,667,13158,5390,2018.0,2017.0389805097452,11.2041,11.23088455772114,1.0169,0.9735337347184186
vet,1,2,1448,917,17857,6800,2018.0131,2017.0763358778627,11.6609,11.202835332606325,1.0611,0.9897373038263185
work,3,0,329,388,4633,3459,2017.6596,2017.3221649484535,14.155,11.912371134020619,1.074,1.0422070040770348
